"species","training","train_r2","test_r2"
"ABAM",1,0.147029052542703,0.214714323435116
"ABAM",2,0.186915071431023,0.116724627467027
"ABAM",3,0.181417775548505,0.134879653947545
"ABAM",4,0.164213846803684,0.177034615713108
"CANO",1,0.178036078587465,0.252381362247237
"CANO",2,0.213172098667075,0.236754493996582
"CANO",3,0.248410219419847,0.158013007631458
"CANO",4,0.262599533584728,0.0837098427738946
"PSME",1,0.631113925696068,0.58343952486634
"PSME",2,0.643031436355174,0.607374414081099
"PSME",3,0.65320492077197,0.572658414022313
"PSME",4,0.589758011015084,0.703849672809156
"THPL",1,0.166714260816918,0.00554162741696318
"THPL",2,0.192427888187384,0.0594810375249769
"THPL",3,0.1735629472674,-0.0165461929337893
"THPL",4,0.153844673689397,0.104180915914619
"TSHE",1,0.269650995806065,0.182537329384697
"TSHE",2,0.232461282894592,0.269137995665605
"TSHE",3,0.242624893080635,0.25272901003436
"TSHE",4,0.244434479273638,0.232137907194843
"TSME",1,0.239419899548461,-0.0367149440327188
"TSME",2,0.150695615754069,0.33959776606182
"TSME",3,0.261703947122023,-0.0956819908944828
"TSME",4,0.213279811897616,0.0986885737755605
