stand_id,precip_mm,temp_C,elev_m,aet_mm,pet_mm
AB08,1504.189941,5.510000229,1055,308.5241362,422.7761733
AE10,2833.560059,4.789999962,1054,309.3701701,353.7791172
AG05,2026.959961,7.059999943,855,402.9992554,502.8461596
AM16,2670.199951,5.28000021,1183,351.8821418,419.9146468
AO03,1631.72998,6.679999828,842,326.2163951,436.6286905
AR07,2807.120117,4.769999981,1451,229.4659227,250.8801263
AV02,1631.72998,6.679999828,842,328.7929311,441.3814602
AV06,2395.22998,6.210000038,1092,377.4344673,461.7377694
AV14,2505.159912,5.809999943,1105,297.3641226,326.2210611
AX15,1919.829956,6.260000229,950,326.0400346,396.7313531
PP17,1850.430054,5.480000019,1116,312.862569,402.9807529
TA01,1841.410034,8.069999695,671,398.1879632,558.1361424
TB13,1886.619995,7.489999771,851,416.7642348,522.8068098
TO04,1825.790039,7.610000134,668,408.8994432,509.8153884
TO11,1781.969971,7.480000019,604,422.1419218,494.836299
